id_empresa;codigo_provincia_2015;provincia_2015;codigo_provincia_2014;provincia_2014;codigo_provincia_2013;provincia_2013;codigo_provincia_2012;provincia_2012;codigo_canton_2015;canton_2015;codigo_canton_2014;canton_2014;codigo_canton_2013;canton_2013;codigo_canton_2012;canton_2012;empleados2015;empleados2014;empleados2013;empleados2012;emp_hombres_2015;emp_hombres_2014;emp_hombres_2013;emp_hombres_2012;emp_mujeres_2015;emp_mujeres_2014;emp_mujeres_2013;emp_mujeres_2012;ventas_totales2015;ventas_totales2014;ventas_totales2013;ventas_totales2012;id_nuevo
13705093096;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;625;602;617;593;572;555;574;551;53;47;43;42;44288482;46198511;43115138;40388983;13705093096
13705094092;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;13;14;14;16;7;8;8;9;6;6;6;7;10481740;12739257;12041740;11913893;13705094092
13705095099;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;26;24;22;23;19;18;16;17;7;6;6;6;1211609;1157516;1068449;1087760;13705095099
13705098098;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;87;87;86;88;42;43;49;56;45;44;37;32;1419586;1471336;1424386;1227309;13705098098
13705100092;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;191;186;186;184;166;163;163;161;25;23;23;23;30775162;28905614;28030081;28121761;13705100092
13705107097;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;8292;9234;9345;8746;5268;5792;5744;5171;3024;3442;3601;3575;1098977864;1066989411;1047470237;974958261;13705107097
13705108093;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;907;Durán        ;907;Durán        ;907;Durán        ;907;Durán        ;563;544;552;570;417;400;397;395;146;144;155;175;37017217;34326924;29389927;28003120;13705108093
13705109090;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;35;36;35;41;23;23;24;32;12;13;11;9;910353;1824791;801476;597777;13705109090
13705111094;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;205;203;210;203;160;158;161;152;45;45;49;51;79016728;91908817;88656371;88271448;13705111094
13705112091;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;910;Milagro       ;910;Milagro       ;910;Milagro       ;901;Guayaquil     ;2263;2480;2942;3580;2136;2343;2784;3396;127;137;158;184;125280259;140788901;133380682;138088309;13705112091
